respondent_id,age,sex,district_code,cluster_id,enumerator_id,working_hours,income,employment_status,household_size,notes
M001,29,F,1101,C01,E12,37,12400,employed,4,clean
M002,30,M,1101,C01,E12,38,12800,employed,5,clean
M003,31,F,1101,C01,E12,39,13200,employed,3,clean
M004,32,M,1101,C01,E12,40,13600,employed,4,clean
M005,33,F,1101,C01,E12,41,14000,employed,5,clean
M006,34,M,1101,C01,E12,42,14400,employed,3,clean
M007,35,F,1101,C01,E12,36,14800,employed,4,clean
M008,36,M,1101,C01,E12,37,15200,employed,5,clean
M009,37,F,1101,C01,E12,38,15600,employed,3,clean
M010,38,M,1101,C01,E12,39,12000,employed,4,clean
M011,39,F,1101,C01,E12,40,12400,employed,5,clean
M012,28,M,1101,C01,E12,41,12800,employed,3,clean
M013,29,F,1101,C01,E12,42,13200,employed,4,clean
M014,30,M,1101,C01,E12,36,13600,employed,5,clean
M015,31,F,1101,C01,E12,37,14000,employed,3,clean
M016,32,M,1101,C01,E12,38,14400,employed,4,clean
M017,33,F,1101,C01,E12,39,14800,employed,5,clean
M018,34,M,1101,C01,E12,40,15200,employed,3,clean
M019,35,F,1102,C02,E15,41,15600,employed,4,clean
M020,36,M,1102,C02,E15,42,12000,employed,5,clean
M021,37,F,1102,C02,E15,36,12400,employed,3,clean
M022,38,M,1102,C02,E15,37,12800,employed,4,clean
M023,39,F,1102,C02,E15,38,13200,employed,5,clean
M024,28,M,1102,C02,E15,39,13600,employed,3,clean
M025,29,F,1102,C02,E15,40,14000,employed,4,clean
M026,30,M,1102,C02,E15,41,14400,employed,5,clean
M027,31,F,1102,C02,E15,42,14800,employed,3,clean
M028,32,M,1102,C02,E15,36,15200,employed,4,clean
M029,33,F,1102,C02,E15,37,15600,employed,5,clean
M030,-1,M,1101,C01,E12,40,14000,employed,4,injected_negative_age
M031,121,F,1101,C01,E12,38,14200,employed,3,injected_impossible_age
M032,36,M,1101,C01,E12,190,15000,employed,4,injected_hours_over_168
M033,35,F,1102,C02,E15,40,-80,employed,3,injected_negative_income
M034,34,M,1102,C02,E15,39,13800,employed,0,injected_zero_household
M035,40,F,1102,C02,E15,40,12000,unemployed,4,injected_unemployed_with_hours
M036,33,M,1101,C01,E12,0,14100,employed,4,injected_employed_zero_hours
M037,38,F,1102,C02,E15,96,15500,employed,4,borderline_high_hours
M038,37,M,1101,C01,E12,40,48000,employed,3,borderline_high_income
M039,122,M,1101,C01,E12,200,-50,employed,1,multi_source_extreme
M040,45,M,1101,C01,E12,70,20000,employed,1,multi_source_unusual_pattern
