respondent_id,age,sex,district_code,cluster_id,enumerator_id,working_hours,income,employment_status,household_size,notes
M001,29,F,1101,C01,E12,37,12400,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M002,30,M,1101,C01,E12,38,12800,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M003,31,F,1101,C01,E12,39,13200,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M004,32,M,1101,C01,E12,40,13600,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M005,33,F,1101,C01,E12,41,14000,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M006,34,M,1101,C01,E12,42,14400,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M007,35,F,1101,C01,E12,36,14800,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M008,36,M,1101,C01,E12,37,15200,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M009,37,F,1101,C01,E12,38,15600,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M010,38,M,1101,C01,E12,39,12000,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M011,39,F,1101,C01,E12,40,12400,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M012,28,M,1101,C01,E12,41,12800,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M013,29,F,1101,C01,E12,42,13200,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M014,30,M,1101,C01,E12,36,13600,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M015,31,F,1101,C01,E12,37,14000,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M016,32,M,1101,C01,E12,38,14400,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M017,33,F,1101,C01,E12,39,14800,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M018,34,M,1101,C01,E12,40,15200,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M019,35,F,1101,C01,E12,41,15600,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M020,36,M,1101,C01,E12,42,12000,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M021,37,F,1102,C02,E15,36,12400,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M022,38,M,1102,C02,E15,37,12800,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M023,39,F,1102,C02,E15,38,13200,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M024,28,M,1102,C02,E15,39,13600,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M025,29,F,1102,C02,E15,40,14000,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M026,30,M,1102,C02,E15,41,14400,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M027,31,F,1102,C02,E15,42,14800,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M028,32,M,1102,C02,E15,36,15200,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M029,33,F,1102,C02,E15,37,15600,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M030,34,M,1102,C02,E15,38,12000,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M031,35,F,1102,C02,E15,39,12400,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M032,36,M,1102,C02,E15,40,12800,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M033,37,F,1102,C02,E15,41,13200,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M034,38,M,1102,C02,E15,42,13600,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M035,39,F,1102,C02,E15,36,14000,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M036,28,M,1102,C02,E15,37,14400,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M037,29,F,1102,C02,E15,38,14800,employed,4,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M038,30,M,1102,C02,E15,39,15200,employed,5,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M039,31,F,1102,C02,E15,40,15600,employed,3,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
M040,45,M,1101,C01,E12,70,20000,employed,1,SYNTHETIC DEMONSTRATION DATA — NOT OFFICIAL PLFS DATA
