respondent_id,age,sex,district_code,cluster_id,enumerator_id,working_hours,income,employment_status,household_size,notes
M001,29,F,1101,C01,E12,37,12400,employed,4,clean
M002,30,M,1101,C01,E12,38,12800,employed,5,clean
M003,31,F,1101,C01,E12,39,13200,employed,3,clean
M004,32,M,1101,C01,E12,40,13600,employed,4,clean
M005,33,F,1101,C01,E12,41,14000,employed,5,clean
M006,34,M,1101,C01,E12,42,14400,employed,3,clean
M007,35,F,1101,C01,E12,36,14800,employed,4,clean
M008,36,M,1101,C01,E12,37,15200,employed,5,clean
M009,37,F,1101,C01,E12,38,15600,employed,3,clean
M010,38,M,1101,C01,E12,39,12000,employed,4,clean
M011,39,F,1101,C01,E12,40,12400,employed,5,clean
M012,28,M,1101,C01,E12,41,12800,employed,3,clean
M013,29,F,1101,C01,E12,42,13200,employed,4,clean
M014,30,M,1101,C01,E12,36,13600,employed,5,clean
M015,31,F,1101,C01,E12,37,14000,employed,3,clean
M016,32,M,1101,C01,E12,38,14400,employed,4,clean
M017,33,F,1101,C01,E12,39,14800,employed,5,clean
M018,34,M,1101,C01,E12,40,15200,employed,3,clean
M019,35,F,1102,C02,E15,41,15600,employed,4,clean
M020,36,M,1102,C02,E15,42,12000,employed,5,clean
M021,37,F,1102,C02,E15,36,12400,employed,3,clean
M022,38,M,1102,C02,E15,37,12800,employed,4,clean
M023,39,F,1102,C02,E15,38,13200,employed,5,clean
M024,28,M,1102,C02,E15,39,13600,employed,3,clean
M025,29,F,1102,C02,E15,40,14000,employed,4,clean
M026,30,M,1102,C02,E15,41,14400,employed,5,clean
M027,31,F,1102,C02,E15,42,14800,employed,3,clean
M028,32,M,1102,C02,E15,36,15200,employed,4,clean
M029,33,F,1102,C02,E15,37,15600,employed,5,clean
M030,-5,M,1101,C01,E12,40,14000,employed,4,invalid_age
M031,85,F,1101,C01,E12,38,14200,employed,3,valid_older_age
M032,36,M,1101,C01,E12,160,15000,employed,4,valid_high_hours
M033,35,F,1102,C02,E15,190,13800,employed,3,invalid_hours
M034,34,M,1102,C02,E15,39,48000,employed,4,valid_high_income
M035,40,F,1102,C02,E15,40,12000,employed,4,clean
M036,33,M,1101,C01,E12,40,-5000,employed,4,invalid_income
M037,38,F,1102,C02,E15,42,15500,employed,4,clean
M038,37,M,1101,C01,E12,40,14800,employed,3,clean
M039,29,M,1101,C01,E12,41,13000,employed,4,clean
M040,45,M,1101,C01,E12,40,16000,employed,3,clean
